State,District,Latitude,Longitude,District code,District name,Population,Male_Literate,Female_Literate,Households_with_Internet,Housholds_with_Electric_Lighting,Rural_Households,Sex_Ratio,Literacy_ratte
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,Adilabad,2741239,856350,626997,5512,566108,597466,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,Anantapur,4081148,1338474,972486,8606,897970,902997,98.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,Chittoor,4174064,1484794,1183084,13763,944555,907970,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,East Godavari,5154296,1716933,1571644,22411,1297273,1199479,101.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,Guntur,4887813,1634726,1325715,19383,1186028,1069877,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,Hyderabad,3943323,1542688,1349467,149034,869721,0,95.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,Karimnagar,3776269,1257238,949591,8831,926768,877236,101.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,Khammam,2797370,901640,728594,8628,668519,669262,101.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,Krishna,4517398,1598959,1410759,30438,1163932,909292,99.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,Kurnool,4053463,1246369,880792,10081,816721,783853,99.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,Mahbubnagar,4053028,1158386,782260,6153,757821,848963,98.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,Medak,3033288,953406,683731,8635,604719,593653,99.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,Nalgonda,3488809,1160757,840262,7715,789225,833504,98.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,Nizamabad,2551335,790214,599596,5261,545913,565165,104.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,Prakasam,3397448,1107686,796749,6151,763746,873486,98.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,Srikakulam,2703114,857824,637557,3988,615432,752752,101.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,Vizianagaram,2344474,707503,530885,4453,527736,592458,102.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,Warangal,3512576,1179790,885233,12952,828077,758738,100.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,West Godavari,3936966,1379223,1273166,12050,1017568,1007255,100.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,Changlang,148226,44027,29147,170,14593,33422,93.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,East Kameng,78690,21599,16850,57,5318,14503,103.0,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,East Siang,99214,34210,28366,450,14231,19497,98.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,Kurung Kumey,92076,20258,16348,95,3911,18603,103.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,Lohit,145726,48380,34682,312,17157,33599,91.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,Lower Dibang Valley,54080,18087,13762,207,5932,12000,93.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,Lower Subansiri,83030,29470,24587,381,12493,18112,98.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,Papum Pare,176573,65794,55254,2477,30539,20308,98.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,Tawang,49977,17720,8353,96,8635,10730,71.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,Tirap,111975,29313,18661,98,16026,18420,94.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,Upper Siang,35320,10723,7472,97,6198,8569,89.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,Upper Subansiri,83448,24807,20471,139,5373,14542,100.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,West Kameng,83947,29566,18926,202,14188,17889,82.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,West Siang,112274,36777,27969,303,14204,22272,93.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,Barpeta,1693622,499038,398020,2078,84804,447189,95.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,Bongaigaon,738804,237114,196964,2523,49866,181923,97.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,Cachar,1736617,639946,534182,5316,140205,346227,96.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,Darrang,928500,268666,218373,1166,45444,268517,95.0,52.0
